cost,loss,epsilon,ROC,Sens,Spec,ROCSD,SensSD,SpecSD,model
0.001,L2_primal,0.01,0.592934053136435,0.7050674403610574,0.4021737273262267,0.004163562207004486,0.01293859842142692,0.01291642304351685,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5933167817687124,0.6953629916183107,0.4157934087743575,0.004157280376950474,0.010219770190103438,0.011454016646043775,L2_Logistic_Regression
0.1,L2_primal,0.01,0.593278470597031,0.6916644745325596,0.42029923783106204,0.004163033761175296,0.008332705508531867,0.009325179158938803,L2_Logistic_Regression
1,L2_primal,0.01,0.5932764656342615,0.6915027724049001,0.42049340359970716,0.004162475309921787,0.008023100189318334,0.00894879073777062,L2_Logistic_Regression
10,L2_primal,0.01,0.5932755685406855,0.6914674403610573,0.42053731887002166,0.004162083631736324,0.007950338633755466,0.008852195191506427,L2_Logistic_Regression
100,L2_primal,0.01,0.5932755372284838,0.6914676982591876,0.42053637784116343,0.004161951307881372,0.007950381255115723,0.008851708079634599,L2_Logistic_Regression
1000,L2_primal,0.01,0.5932755444697505,0.6914674403610573,0.42053637784116343,0.00416195492528216,0.007950225467465585,0.008851708079634599,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5951418482622076,0.6939969052224372,0.419003446897561,0.00429744061915335,0.01048677872524306,0.009715118968692921,L2_Logistic_Regression
0.01,L2_primal,0.01,0.5954946968250613,0.6890803352675693,0.4292108066473204,0.0043055555901358985,0.009570047473573963,0.010348474538049327,L2_Logistic_Regression
0.1,L2_primal,0.01,0.5954787082406947,0.6881379754996776,0.4303600791760855,0.004306990989456161,0.008418343666078154,0.008801926452682487,L2_Logistic_Regression
1,L2_primal,0.01,0.5954766778105451,0.6879641521598968,0.4305532962916252,0.0043060017647878245,0.008152422408205223,0.008538279644809845,L2_Logistic_Regression
10,L2_primal,0.01,0.5954766532265763,0.6879669890393295,0.4305545509967695,0.004305708428743418,0.008100056234211074,0.008500021018845616,L2_Logistic_Regression
100,L2_primal,0.01,0.5954768953032004,0.6879685364281108,0.43055298261533914,0.00430523322592842,0.00809748409740409,0.008498823672703004,L2_Logistic_Regression
1000,L2_primal,0.01,0.5954768094314411,0.6879685364281108,0.43055298261533914,0.0043053883611676586,0.00809748409740409,0.008498823672703004,L2_Logistic_Regression
0.001,L2_primal,0.01,0.5941937012610179,0.6984069632495165,0.4124494322050956,0.004307102124801828,0.011750896583384882,0.011125175726150838,L2_Logistic_Regression
